Sl. No.,Category,State/UT/City,Dangerous or Careless Driving/ Over-taking/etc. - Cases,Dangerous or Careless Driving/ Over-taking/etc. - Injured,Dangerous or Careless Driving/ Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes) - Cases,Weather Condition (Others Causes) - Injured,Weather Condition (Others Causes) - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
31,Union Territories,CHANDIGARH,242,204,63,111,77,37,11,12,6,0,0,0,0,0,0,0,0,0,4,3,1,4,3,1,0,0,0,3,5,0,0,0,0,13,7,9,29,23,13,413,331,129,0,0,0,413,331,129
32,Union Territories,D & N HAVELI,37,42,25,14,22,9,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,7,6,8,0,69,97,42,0,0,0,69,97,42
33,Union Territories,DAMAN & DIU,64,57,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1,1,2,0,4,5,1,0,0,0,0,0,0,0,0,0,1,0,2,70,64,42,0,0,0,70,64,42
34,Union Territories,DELHI (UT),2328,2575,484,774,725,213,117,121,8,0,0,0,0,0,0,2,3,0,43,40,8,35,32,6,8,8,2,7,7,0,15,13,2,796,686,146,4003,4088,761,8085,8258,1622,10,0,10,8095,8258,1632
35,Union Territories,LAKSHADWEEP,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0
36,Union Territories,PUDUCHERRY,799,806,129,530,545,100,4,3,0,6,5,1,41,51,2,15,15,0,22,23,2,13,14,1,9,9,1,4,4,0,2,2,0,0,0,0,107,98,1,1530,1552,235,0,0,0,1530,1552,235
TOTAL (UTs),TOTAL (UTs),TOTAL (UTs),3568,3850,748,1537,1500,373,164,172,15,6,5,1,41,51,2,21,22,0,74,73,12,53,51,8,21,22,4,18,18,1,20,18,2,833,710,162,4146,4217,777,10428,10636,2093,10,0,10,10438,10636,2103
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),146059,151231,48093,202882,212815,60969,7061,6295,2988,3273,3161,1188,13444,14537,4551,2292,2168,1019,17235,17947,6191,4925,5004,2305,12310,12943,3886,4325,4586,1435,4012,4151,1663,7832,7000,3663,56259,58498,16947,464674,482389,148707,297,107,262,464971,482496,148969
37,City,AGRA,319,195,148,246,191,131,13,10,8,32,27,26,0,0,0,17,9,15,267,214,130,208,167,96,59,47,34,38,21,25,10,5,7,12,6,8,67,34,47,1021,712,545,0,0,0,1021,712,545
38,City,AHMEDABAD,678,564,158,1290,1130,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,33,7,14,4,10,2022,1731,387,0,0,0,2022,1731,387
39,City,ALLAHABAD,900,626,447,110,34,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1011,660,547,0,0,0,1011,660,547
40,City,AMRITSAR,20,14,15,116,52,71,0,0,0,0,0,0,0,0,0,0,0,0,14,23,13,12,18,10,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,150,89,99,0,0,0,150,89,99
41,City,ASANSOL,46,23,25,37,16,20,11,4,5,17,8,9,87,45,50,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,164,88,108,0,0,0,363,184,218,0,0,0,363,184,218
42,City,AURANGABAD,0,0,0,2913,2708,205,28,28,0,0,0,0,0,0,0,135,133,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,46,1,3123,2915,208,0,0,0,3123,2915,208
43,City,BENGALURU,1918,1503,296,2988,2462,568,34,34,10,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,54,43,16,5001,4049,890,0,0,0,5001,4049,890
44,City,BHOPAL,0,0,0,561,478,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,478,102,0,0,0,561,478,102
45,City,CHANDIGARH (CITY),238,197,62,109,74,36,11,12,6,0,0,0,0,0,0,0,0,0,4,3,1,4,3,1,0,0,0,3,5,0,0,0,0,13,7,9,29,23,13,407,321,127,0,0,0,407,321,127
46,City,CHENNAI,1072,1091,146,692,642,105,576,568,93,297,183,59,46,17,12,16,29,2,1650,1695,19,103,58,3,1547,1637,16,61,118,11,336,469,33,169,150,7,2413,2358,399,7328,7320,886,35,47,17,7363,7367,903
47,City,COIMBATORE,314,363,35,1177,1027,209,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,1393,245,0,0,0,1513,1393,245
48,City,DELHI (CITY),1995,2242,377,522,470,107,115,119,8,0,0,0,0,0,0,2,3,0,43,40,8,35,32,6,8,8,2,7,7,0,13,13,0,754,655,132,3697,3836,684,7148,7385,1316,10,0,10,7158,7385,1326
49,City,DHANBAD,85,88,28,15,24,16,14,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,137,48,0,0,0,114,137,48
50,City,DURG BHILAINAGAR,0,0,0,941,929,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,929,195,0,0,0,941,929,195
51,City,FARIDABAD,493,351,172,60,56,16,36,33,4,12,11,1,18,16,3,8,7,2,21,21,5,15,14,2,6,7,3,0,0,0,15,15,10,30,29,17,0,0,0,693,539,230,0,0,0,693,539,230
52,City,GHAZIABAD,165,120,118,113,65,84,85,36,26,6,7,1,25,13,9,3,5,4,6,7,7,3,1,0,3,6,7,4,2,1,4,3,0,113,79,47,119,65,68,643,402,365,0,0,0,643,402,365
53,City,GWALIOR,0,0,0,1606,1490,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606,1490,149,0,0,0,1606,1490,149
54,City,HYDERABAD,965,908,101,1762,1439,321,23,23,2,0,0,0,11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2761,2382,425,0,0,0,2761,2382,425
55,City,INDORE,141,21,143,76,12,77,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,5,224,33,227,0,0,0,224,33,227
56,City,JABALPUR,0,0,0,85,0,99,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,0,0,142,0,156,0,0,0,142,0,156
57,City,JAIPUR,1213,990,419,686,649,221,32,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,1230,297,3151,2892,939,0,0,0,3151,2892,939
