Sl. No.,Category,State/UT/City,Dangerous or Careless Driving/Over-taking/etc. - Cases,Dangerous or Careless Driving/Over-taking/etc. - Injured,Dangerous or Careless Driving/Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes) - Cases,Weather Condition (Others Causes) - Injured,Weather Condition (Others Causes) - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
46,City,Chennai,1450,1081,482,1310,1710,357,372,372,89,208,195,18,451,536,48,43,60,21,301,326,69,198,223,25,103,103,44,516,805,125,335,357,33,16,0,23,2255,1533,34,7257,6975,1299,0,0,0,7257,6975,1299
47,City,Coimbatore,21,24,3,1272,1161,274,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,1191,277,0,0,0,1299,1191,277
48,City,Delhi (City),3015,2693,637,1859,1803,425,48,46,6,0,0,0,19,20,5,22,19,5,99,89,19,60,55,10,39,34,9,13,12,2,37,37,2,544,480,174,367,297,131,6023,5496,1406,0,0,0,6023,5496,1406
49,City,Dhanbad,106,59,59,87,32,21,0,0,0,0,0,0,13,12,14,5,4,3,2,2,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,109,100,0,0,0,213,109,100
50,City,Durg Bhilainagar,0,0,0,859,855,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,855,152,0,0,0,859,855,152
51,City,Faridabad,98,76,27,368,312,145,0,0,0,0,0,0,16,24,2,8,12,0,155,124,68,155,124,68,0,0,0,10,13,1,0,0,0,57,49,33,0,0,0,712,610,276,0,0,0,712,610,276
52,City,Ghaziabad,80,11,82,29,3,33,8,0,10,0,0,0,1,0,1,0,0,0,5,0,5,2,0,2,3,0,3,0,0,0,0,0,0,22,2,23,67,13,73,212,29,227,0,0,0,212,29,227
53,City,Gwalior,215,201,46,970,950,93,0,0,0,0,0,0,42,68,13,0,0,0,64,67,12,0,0,0,64,67,12,0,0,0,0,0,0,0,0,0,0,0,0,1291,1286,164,0,0,0,1291,1286,164
54,City,Hyderabad,928,814,38,1812,1489,255,31,21,6,12,10,2,23,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,4,0,0,0,0,0,0,2834,2370,310,0,0,0,2834,2370,310
55,City,Indore,155,115,12,308,158,30,5,0,0,0,0,0,0,0,0,0,0,0,698,386,94,0,0,0,698,386,94,0,0,0,143,142,17,912,787,122,1092,928,39,3313,2516,314,0,0,0,3313,2516,314
56,City,Jabalpur,772,528,56,917,898,126,52,52,7,1,1,0,183,183,0,0,0,0,100,102,0,89,89,0,11,13,0,0,0,0,0,0,0,13,13,0,297,270,0,2335,2047,189,0,0,0,2335,2047,189
57,City,Jaipur,1169,1030,302,1676,1403,471,37,21,3,0,0,0,0,0,0,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,89,31,2,0,2,2983,2550,813,0,0,0,2983,2550,813
58,City,Jamshedpur,182,147,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,147,98,0,0,0,182,147,98
59,City,Jodhpur,124,101,44,352,293,175,7,6,4,10,10,7,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,101,60,620,516,292,0,0,0,620,516,292
60,City,Kannur,341,405,37,234,293,29,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,578,700,68,0,0,0,578,700,68
61,City,Kanpur,127,100,27,948,443,505,23,16,7,0,0,0,2,2,0,29,18,11,36,20,16,30,14,16,6,6,0,13,13,0,0,0,0,0,0,0,37,26,11,1215,638,577,0,0,0,1215,638,577
62,City,Kochi,186,145,13,2230,2397,98,27,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,59,39,25,0,0,0,2503,2600,137,0,0,0,2503,2600,137
63,City,Kolkata,330,182,149,332,233,108,225,198,23,0,0,0,212,202,23,61,60,0,656,650,13,355,351,6,301,299,7,0,0,0,74,78,0,317,314,9,360,318,4,2567,2235,329,0,0,0,2567,2235,329
64,City,Kollam,0,0,0,1704,1702,169,1,1,0,0,0,0,0,0,0,0,0,0,23,9,17,23,9,17,0,0,0,0,0,0,1,2,1,51,49,26,0,0,0,1780,1763,213,0,0,0,1780,1763,213
65,City,Kota,29,26,4,425,423,82,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,7,0,0,0,481,471,93,0,0,0,481,471,93
66,City,Kozhikode,1438,1520,172,0,0,0,10,14,0,0,0,0,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,3,3,0,1467,1544,184,0,0,0,1467,1544,184
67,City,Lucknow,299,277,101,95,67,47,5,5,2,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,56,23,34,395,232,184,858,611,371,0,0,0,858,611,371
