Sl. No.,Category,State/UT/City,Dangerous or Careless Driving/ Over-taking/etc._Cases,Dangerous or Careless Driving/ Over-taking/etc._Injured,Dangerous or Careless Driving/ Over-taking/etc._Died,Over Speeding_Cases,Over Speeding_Injured,Over Speeding_Died,Driving under Influence of Drug/Alcohol_Cases,Driving under Influence of Drug/Alcohol_Injured,Driving under Influence of Drug/Alcohol_Died,Physical Fatigue of Drivers_Cases,Physical Fatigue of Drivers_Injured,Physical Fatigue of Drivers_Died,Defect in Mechanical Condition of Motor Vehicle_Cases,Defect in Mechanical Condition of Motor Vehicle_Injured,Defect in Mechanical Condition of Motor Vehicle_Died,Animal Crossing_Cases,Animal Crossing_Injured,Animal Crossing_Died,Weather Condition (Total)_Cases,Weather Condition (Total)_Injured,Weather Condition (Total)_Died,Weather Condition (Poor Visibility)_Cases,Weather Condition (Poor Visibility)_Injured,Weather Condition (Poor Visibility)_Died,Weather Condition (Others Causes_Cases,Weather Condition (Others Causes_Injured,Weather Condition (Others Causes_Died,Lack of Road Infrastructure_Cases,Lack of Road Infrastructure_Injured,Lack of Road Infrastructure_Died,Vehicles Parking at Road Shoulders_Cases,Vehicles Parking at Road Shoulders_Injured,Vehicles Parking at Road Shoulders_Died,Causes Not Known_Cases,Causes Not Known_Injured,Causes Not Known_Died,Other Causes_Cases,Other Causes_Injured,Other Causes_Died,Total Road Accidents_Cases,Total Road Accidents_Injured,Total Road Accidents_Died,Unmanned Railway Crossing Accidents_Cases,Unmanned Railway Crossing Accidents_Injured,Unmanned Railway Crossing Accidents_Died,Grand Total_Cases,Grand Total_Injured,Grand Total_Died
39,City,ALLAHABAD,107,62,26,203,86,36,103,44,32,11,28,18,13,29,22,15,24,18,44,63,29,23,32,16,21,31,13,15,37,24,33,42,20,15,18,12,217,90,46,776,523,283,0,0,0,776,523,283
40,City,AMRITSAR,16,8,16,99,55,66,3,3,4,0,0,0,0,0,0,15,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,76,95,0,0,0,133,76,95
41,City,ASANSOL,429,343,301,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,9,0,0,0,442,354,314,0,0,0,442,354,314
42,City,AURANGABAD,8,5,3,472,340,210,13,7,6,0,0,0,4,3,1,18,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,516,372,226,0,0,0,516,372,226
43,City,BENGALURU,438,389,54,4143,3707,691,32,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,121,16,4684,4250,768,0,0,0,4684,4250,768
44,City,BHOPAL,1532,1084,77,196,160,10,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,21,14,2,0,0,0,163,168,15,602,481,19,2516,1909,123,0,0,0,2516,1909,123
45,City,CHANDIGARH (CITY),14,8,5,282,259,99,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,275,104,0,0,0,304,275,104
46,City,CHENNAI,645,830,136,3043,2651,668,438,469,49,937,890,216,434,483,48,8,7,0,1315,1327,104,883,948,12,432,379,92,9,5,5,42,40,26,0,0,0,0,0,0,6871,6702,1252,0,0,0,6871,6702,1252
47,City,COIMBATORE,45,31,14,1013,1038,118,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,1073,132,0,0,0,1062,1073,132
48,City,DELHI (CITY),1978,1697,529,2043,1884,482,142,130,29,2,2,0,28,39,3,15,17,4,83,84,29,40,42,16,43,42,13,24,22,11,35,41,2,468,383,144,531,440,167,5349,4739,1400,0,0,0,5349,4739,1400
49,City,DHANBAD,65,20,25,77,46,88,0,0,0,0,0,0,24,7,12,1,1,1,4,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,75,127,0,0,0,171,75,127
50,City,DURG BHILAINAGAR,0,0,0,533,654,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,654,93,0,0,0,533,654,93
51,City,FARIDABAD,242,240,107,386,345,134,0,0,0,0,0,0,4,0,0,0,0,0,57,50,23,57,50,23,0,0,0,0,0,0,0,0,0,47,0,47,0,0,0,736,635,311,0,0,0,736,635,311
52,City,GHAZIABAD,86,11,88,32,3,32,2,1,2,0,0,0,1,0,1,0,0,0,17,4,18,9,2,10,8,2,8,0,0,0,0,0,0,19,2,19,40,7,41,197,28,201,0,0,0,197,28,201
53,City,GWALIOR,118,119,9,1049,971,111,0,0,0,0,0,0,15,14,3,0,0,0,36,55,5,0,0,0,36,55,5,0,0,0,0,0,0,0,0,0,0,0,0,1218,1159,128,0,0,0,1218,1159,128
54,City,HYDERABAD,951,973,32,1875,1611,226,14,19,5,15,7,6,26,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,0,0,0,0,0,0,0,2900,2649,271,0,0,0,2900,2649,271
55,City,INDORE,3012,2316,260,229,209,28,28,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,8,8,0,15,12,5,34,24,2,3336,2606,297,0,0,0,3336,2606,297
56,City,JABALPUR,112,100,17,1503,1737,159,129,7,3,0,0,0,63,51,13,0,0,0,119,105,13,56,52,6,63,53,7,0,0,0,0,0,0,0,0,0,241,222,4,2167,2222,209,0,0,0,2167,2222,209
57,City,JAIPUR,1460,1239,320,1528,1166,389,36,29,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,18,17,6,3045,2451,721,0,0,0,3045,2451,721
58,City,JAMSHEDPUR,191,129,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,129,92,0,0,0,191,129,92
59,City,JODHPUR,121,137,38,551,368,196,0,0,0,0,0,0,7,10,16,7,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,527,260,0,0,0,686,527,260
60,City,KANNUR,340,417,37,314,393,44,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,811,82,0,0,0,657,811,82
61,City,KANPUR,289,137,152,256,111,145,32,24,8,45,20,25,41,17,24,89,64,25,245,101,144,151,71,80,94,30,64,56,11,45,0,0,0,0,0,0,0,0,0,1053,485,568,0,0,0,1053,485,568
